customer_id,Clusters
1,cluster-1
2,cluster-4
3,cluster-1
4,cluster-4
5,cluster-1
6,cluster-4
7,cluster-1
8,cluster-4
9,cluster-1
10,cluster-4
11,cluster-1
12,cluster-4
13,cluster-1
14,cluster-4
15,cluster-1
16,cluster-4
17,cluster-1
18,cluster-4
19,cluster-1
20,cluster-4
21,cluster-1
22,cluster-4
23,cluster-1
24,cluster-4
25,cluster-1
26,cluster-4
27,cluster-1
28,cluster-4
29,cluster-1
30,cluster-4
31,cluster-1
32,cluster-4
33,cluster-1
34,cluster-4
35,cluster-1
36,cluster-4
37,cluster-1
38,cluster-4
39,cluster-1
40,cluster-4
41,cluster-1
42,cluster-4
43,cluster-1
44,cluster-5
45,cluster-1
46,cluster-4
47,cluster-5
48,cluster-5
49,cluster-5
50,cluster-5
51,cluster-5
52,cluster-5
53,cluster-5
54,cluster-5
55,cluster-5
56,cluster-5
57,cluster-5
58,cluster-5
59,cluster-5
60,cluster-5
61,cluster-5
62,cluster-5
63,cluster-5
64,cluster-5
65,cluster-5
66,cluster-5
67,cluster-5
68,cluster-5
69,cluster-5
70,cluster-5
71,cluster-5
72,cluster-5
73,cluster-5
74,cluster-5
75,cluster-5
76,cluster-5
77,cluster-5
78,cluster-5
79,cluster-5
80,cluster-5
81,cluster-5
82,cluster-5
83,cluster-5
84,cluster-5
85,cluster-5
86,cluster-5
87,cluster-5
88,cluster-5
89,cluster-5
90,cluster-5
91,cluster-5
92,cluster-5
93,cluster-5
94,cluster-5
95,cluster-5
96,cluster-5
97,cluster-5
98,cluster-5
99,cluster-5
100,cluster-5
101,cluster-5
102,cluster-5
103,cluster-5
104,cluster-5
105,cluster-5
106,cluster-5
107,cluster-5
108,cluster-5
109,cluster-5
110,cluster-5
111,cluster-5
112,cluster-5
113,cluster-5
114,cluster-5
115,cluster-5
116,cluster-5
117,cluster-5
118,cluster-5
119,cluster-5
120,cluster-5
121,cluster-5
122,cluster-5
123,cluster-5
124,cluster-2
125,cluster-3
126,cluster-2
127,cluster-5
128,cluster-2
129,cluster-3
130,cluster-2
131,cluster-3
132,cluster-2
133,cluster-3
134,cluster-2
135,cluster-3
136,cluster-2
137,cluster-3
138,cluster-2
139,cluster-3
140,cluster-2
141,cluster-3
142,cluster-2
143,cluster-5
144,cluster-2
145,cluster-3
146,cluster-2
147,cluster-3
148,cluster-2
149,cluster-3
150,cluster-2
151,cluster-3
152,cluster-2
153,cluster-3
154,cluster-2
155,cluster-3
156,cluster-2
157,cluster-3
158,cluster-2
159,cluster-3
160,cluster-2
161,cluster-3
162,cluster-2
163,cluster-3
164,cluster-2
165,cluster-3
166,cluster-2
167,cluster-3
168,cluster-2
169,cluster-3
170,cluster-2
171,cluster-3
172,cluster-2
173,cluster-3
174,cluster-2
175,cluster-3
176,cluster-2
177,cluster-3
178,cluster-2
179,cluster-3
180,cluster-2
181,cluster-3
182,cluster-2
183,cluster-3
184,cluster-2
185,cluster-3
186,cluster-2
187,cluster-3
188,cluster-2
189,cluster-3
190,cluster-2
191,cluster-3
192,cluster-2
193,cluster-3
194,cluster-2
195,cluster-3
196,cluster-2
197,cluster-3
198,cluster-2
199,cluster-3
200,cluster-2
